 	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	
0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|10	0|0	0|0	0|0	

1	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|10	0|0	0|30	999|0	0|0	0|0	0|0	

2	0|0	0|0	0|0	0|0	0|0	0|0	999|0	0|5	0|10	0|0	1000|15	5|5	0|0	0|0	0|0	

3	0|0	0|0	0|0	0|5	0|0	5|0	5|0	1000|999	0|0	0|0	20|30	0|0	0|5	0|0	0|0	

4	0|0	0|0	0|5	999|0	0|20	0|0	25|1000	30|20	0|0	0|0	0|0	0|15	0|0	0|0	0|0	

5	0|0	0|5	5|0	0|120	1000|0	0|0	0|0	0|0	0|0	0|0	0|0	0|5	0|0	0|5	0|0	

6	0|0	0|5	5|10	10|1200	0|0	0|0	0|0	0|0	0|0	30|20	0|0	10|10	5|10	0|0	0|0	

7	0|0	100|5	10|100	0|0	0|0	0|0	0|0	0|0	0|0	0|0	5|1000	0|0	0|999	0|5	0|0	

8	0|0	0|10	0|0	0|0	5|40	0|1000	0|0	0|0	0|0	0|0	0|10	0|15	0|0	0|0	0|0	

9	0|0	0|0	10|10	1200|1210	10|1220	0|0	0|0	0|0	0|0	0|0	0|10	0|5	0|0	0|0	0|0	

10	0|0	0|10	5|10	0|100	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	

11	0|0	0|5	0|0	0|5	10|20	120|1035	0|110	0|0	0|20	1000|15	0|20	0|0	0|0	0|0	0|0	

12	0|0	0|0	0|0	0|5	10|0	0|100	5|0	0|10	0|0	0|5	999|0	0|5	0|0	0|0	0|0	

13	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	

14	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	0|0	

1200,9641|1220,10688
